GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-app,default,BookBuilder,42,0,0,0,12,0,7,0,7,0
my-app,default,BookShop,16,0,0,0,4,0,2,0,2,0
my-app,default,Book,50,0,0,0,8,0,2,0,2,0
my-app,com.mycompany.app,BookPojoMain,38,0,0,0,16,0,11,0,11,0
my-app,com.mycompany.app,Calc,0,7,0,0,0,2,0,2,0,2
my-app,com.mycompany.app,Book,53,0,0,0,10,0,3,0,3,0
my-app,com.mycompany.app,BookShop,22,0,0,0,4,0,2,0,2,0
my-app,com.mycompany.app,BookBuilder,42,0,0,0,12,0,7,0,7,0
my-app,com.mycompany.app,EmpBusinessLogic,26,0,2,0,9,0,4,0,3,0
my-app,com.mycompany.app,PrimeNumberChecker,0,24,0,4,0,5,0,4,0,2
my-app,com.mycompany.app,App,7,0,0,0,3,0,2,0,2,0
my-app,com.mycompany.app,EmployeeDetails,24,0,0,0,10,0,7,0,7,0
my-app,com.mycompany.surviva,BookPojoMain,38,0,0,0,16,0,11,0,11,0
my-app,com.mycompany.surviva,BookPojoBusinessLogic,29,0,4,0,12,0,5,0,3,0
